,start,stop,middle,duration,keys,total,bandwidth,who,type,called_from,time,compressed
2003,1713455740.811344,1713455740.8695319,1713455740.840438,0.05818796157836914,"{('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 62, 0, 0, 0): 1}",1,17.185685369871095,tcp://10.201.0.212:38553,incoming_transfer,tcp://10.201.0.229:41793,1713455740.8725731,
2004,1713455740.8856807,1713455740.8894475,1713455740.7779737,0.003766775131225586,"{('chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333', 48, 0, 0, 0): 1}",1,265.47908095449077,tcp://10.201.0.229:41793,outgoing_transfer,tcp://10.201.0.212:45449,1713455740.8641126,347.0
2005,1713455740.904367,1713455740.9369838,1713455740.9206755,0.03261685371398926,"{('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 58, 0, 0, 0): 1, ('chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333', 58, 0, 0, 0): 1}",2,61.31799276342239,tcp://10.201.0.212:38553,incoming_transfer,tcp://10.201.0.229:41793,1713455740.872576,
2006,1713455739.9324715,1713455739.934224,1713455739.8595173,0.0017523765563964844,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 40, 0, 0, 0): 3324}",3324,1896852.5844897958,tcp://10.201.0.212:45449,outgoing_transfer,tcp://10.201.0.212:38577,1713455740.876784,621.0
2007,1713455740.9299297,1713455740.9344742,1713455740.8226113,0.004544496536254883,"{('array-8838909ee9756e34565341881e2e6f0c', 21): 336}",336,73935.58281307382,tcp://10.201.0.212:38577,outgoing_transfer,tcp://10.201.0.212:45449,1713455740.864116,664.0
2008,1713455740.9000163,1713455740.9507496,1713455740.8472915,0.050733327865600586,"{('chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333', 27, 0, 0, 0): 1}",1,19.710908826031176,tcp://10.201.0.212:34699,outgoing_transfer,tcp://10.201.0.212:38577,1713455740.876788,347.0
2009,1713455740.5255616,1713455740.5722463,1713455740.4898212,0.04668474197387695,"{('chunk_max-partial-8c47771865924cf589c1b50dcf089083', 19, 0, 0, 0): 1}",1,21.420274756141158,tcp://10.201.0.229:45945,outgoing_transfer,tcp://10.201.0.229:37485,1713455740.9259782,347.0
2010,1713455740.8707159,1713455740.8717935,1713455740.753345,0.0010776519775390625,"{('array-8838909ee9756e34565341881e2e6f0c', 22): 336}",336,311788.9699115044,tcp://10.201.0.229:45945,outgoing_transfer,tcp://10.201.0.229:37485,1713455740.9259832,664.0
2011,1713455740.45205,1713455740.4529688,1713455740.3608694,0.001,"{('chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333', 56, 0, 0, 0): 1}",1,1000.0,tcp://10.201.0.229:41793,outgoing_transfer,tcp://10.201.0.229:44955,1713455740.9288683,347.0
2012,1713455740.8497593,1713455740.8598576,1713455740.7385907,0.01009821891784668,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 19, 0, 0, 0): 3324}",3324,329166.95776177547,tcp://10.201.0.212:34699,outgoing_transfer,tcp://10.201.0.229:44955,1713455740.928874,621.0
